Firm,Line Item,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7
FirmE,Cost of Goods Sold (COGS),9355000000.0,5454000000.0,3789000000.0,2867000000.0,2153000000.0,1875000000.0,1364000000.0,860000000.0
FirmE,Gross Profit,46483000000.0,35199000000.0,23849000000.0,15061000000.0,10313000000.0,5997000000.0,3725000000.0,2851000000.0
FirmE,Operating Expenses,21570000000.0,14996000000.0,11422000000.0,8836000000.0,5319000000.0,3193000000.0,3187000000.0,1095000000.0
FirmE,Depreciation and Amortization,4315000000.0,3025000000.0,2342000000.0,1945000000.0,1243000000.0,1011000000.0,649000000.0,323000000.0
FirmE,Total Operating Expenses,,,,,,,,
FirmE,Operating Income,24913000000.0,20203000000.0,12427000000.0,6225000000.0,4994000000.0,2921000000.0,538000000.0,1756000000.0
FirmE,Interest Income,661000000.0,398000000.0,176000000.0,52000000.0,27000000.0,19000000.0,14000000.0,4000000.0
FirmE,Interest Expense,9000000.0,6000000.0,10000000.0,23000000.0,23000000.0,56000000.0,51000000.0,42000000.0
FirmE,Other Non-Operating Items,,,,,,,,
FirmE,Pre-Tax Income,25361000000.0,20594000000.0,12518000000.0,6194000000.0,4910000000.0,2754000000.0,494000000.0,1695000000.0
FirmE,Income Tax Expense,3249000000.0,4660000000.0,2301000000.0,2506000000.0,1970000000.0,1254000000.0,441000000.0,695000000.0
FirmE,Net Income,22111000000.0,15920000000.0,10188000000.0,3669000000.0,2925000000.0,1491000000.0,32000000.0,1000000000.0
FirmF,Cash and Cash Equivalents,3686000000.0,3367914000.0,3393216000.0,1196908000.0,1905713000.0,845889000.0,201890000.0,255266000.0
FirmF,Accounts Receivable,949000000.0,515381000.0,499142000.0,168965000.0,226604000.0,49109000.0,26842000.0,9539000.0
FirmF,Inventory,3113000000.0,2263537000.0,2067454000.0,1277838000.0,953675000.0,340355000.0,268504000.0,50082000.0
FirmF,Other Current Assets,559000000.0,423688000.0,299984000.0,130995000.0,76134000.0,27574000.0,27532000.0,32890000.0
FirmF,Total Current Assets,8307000000.0,6570520000.0,6259796000.0,2782006000.0,3180073000.0,1265939000.0,524768000.0,372838000.0
FirmF,Property Plant & Equipment,,,,,,,,
FirmF,Intangible Assets,282000000.0,361502000.0,376145000.0,12816000.0,0.0,13930000.0,14267000.0,14508000.0
FirmF,Other Non-Current Assets,1392000000.0,1171497000.0,991218000.0,78380000.0,54583000.0,16117000.0,12855000.0,15931000.0
FirmF,Total Assets,29740000000.0,28655372000.0,22664076000.0,8067939000.0,5830667000.0,2416930000.0,1114190000.0,713448000.0
FirmF,Accounts Payable,3404451000.0,2390250000.0,1860341000.0,916148000.0,777946000.0,303969000.0,303382000.0,56141000.0
FirmF,Short-Term Debt,2712000000.0,978777000.0,1202178000.0,112424000.0,641661000.0,7904000.0,55206000.0,8983000.0
FirmF,Other Current Liabilities,2104886000.0,2250664000.0,1848463000.0,458423000.0,424679000.0,233338000.0,30088000.0,31142000.0
FirmF,Total Current Liabilities,9993000000.0,7674670000.0,5827005000.0,2811035000.0,2107166000.0,675160000.0,539108000.0,191339000.0
FirmF,Long-Term Debt,11116000000.0,11152086000.0,7461513000.0,2269767000.0,1889248000.0,598974000.0,411460000.0,271165000.0
FirmF,Other Non-Current Liabilities,1327127000.0,3018495000.0,2618643000.0,1457328000.0,630272000.0,287675000.0,35862000.0,23753000.0
FirmF,Total Liabilities,23427000000.0,23023050000.0,16758951000.0,6984235000.0,4918957000.0,1749810000.0,989490000.0,489403000.0
FirmF,Total Equity,6313000000.0,5632322000.0,5905125000.0,1083704000.0,911710000.0,667120000.0,124700000.0,224045000.0
FirmF,Total Liabilities and Equity,29740000000.0,28655372000.0,22664076000.0,8067939000.0,5830667000.0,2416930000.0,1114190000.0,713448000.0
